"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"2703","Oral nutrition","Inherited metabolic disorder - Carbohydrate source","0913191A0","Powder carbohydrate supplement (0913191)"
"2704","Enteral nutrition","Tube feed - Condition specific","0914034A0","Tube feed 1.5kcal/ml peptide  based, higher protein(0914034)"
"2705","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000N0","Oxprenolol hydrochloride"
"2706","Sex Hormones","Male sex hormones and antagonists","0604020P0","Testosterone propionate"
"2707","Dyspepsia and gastro-oesophageal reflux disease","Antacids and simeticone","0101010G0","Co-magaldrox (Magnesium/aluminium hydroxide)"
"2708","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010P0","Gonadorelin"
"2709","Topical corticosteroids","Topical corticosteroids","1304000S0","Fluticasone propionate (Topical)"
"2710","Colostomy Sets","Colostomy Sets","2340","Colostomy Sets"
"2711","Preparations for eczema and psoriasis","Drugs affecting the immune response","1305030A0","Efalizumab"
"2712","Drugs used in psychoses and related disorders","Antipsychotic depot injections","0402020T0","Haloperidol decanoate"
"2713","Anaemias and some other blood disorders","Drugs used in neutropenia","0901060Q0","Lipegfilgrastim"
"2714","Oral nutrition","Inherited metabolic disorder - Protein source","0913206C0","Powder 77g protein equivalent per 100g (0913206)"
"2715","Anti-arrhythmic drugs","Drugs for arrhythmias","0203020S0","Procainamide hydrochloride"
"2716","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803042R0","Degarelix"
"2717","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010A0","Mercaptamine hydrochloride"
"2718","Antibacterial drugs","Some other antibacterials","0501070AC","Fidaxomicin"
"2719","Antiviral drugs","Viral hepatitis","0503032E0","Daclatasvir"
"2720","Antibacterial drugs","Macrolides","0501050A0","Azithromycin"
"2721","Oral nutrition","Inherited metabolic disorder - Protein source","0913206D0","Ready to serve 10g protein equivalent (0913206)"
"2722","Drugs acting on the oropharynx","Drugs for oral ulceration and inflammation","1203010C0","Benzocaine"
"2723","Oral nutrition","Non-ACBS glucose for diabetic hypo treatment","0913541D0","Powder OTC glucose for diabetic hypo treatment (0913541)"
"2724","Antidepressant drugs","Selective serotonin re-uptake inhibitors","0403030L0","Fluvoxamine maleate"
"2725","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000C0","Acebutolol hydrochloride"
"2726","Oral nutrition","Inherited metabolic disorder - Protein source","0913206B0","Powder 20g protein equivalent (0913206)"
"2727","Oral nutrition","Food - Gluten free","0913271C0","Specialist food replacer flour type mixes (0913271)"
"2728","Analgesics","Non-opioid analgesics and compound preparations","0407010Q0","Co-proxamol (Dextropropoxyphene hydrochloride/paracetamol)"
"2729","Treatment of glaucoma","Treatment of glaucoma","1106000AH","Timolol and travoprost"
"2730","Insert For Female Stress Incont","Insert For Female Stress Incont","2285","Insert For Female Stress Incont"
"2731","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020K0","Fluorescein sodium"
"2732","Antihistamines, hyposensitisation and allergic emergencies","Allergen immunotherapy","0304020AC","White Birch pollen allergen extract"
"2733","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000AH","Rolapitant"
"2734","Anti-infective skin preparations","Antibacterial preparations","1310012Q0","Sodium fusidate"
"2735","Drugs used in diabetes","Antidiabetic drugs","0601023AG","Dapagliflozin"
"2736","Emollient and barrier preparations","Emollients","1302010Y0","Wool alcohols"
"2737","Antihistamines, hyposensitisation and allergic emergencies","Allergic emergencies","0304030F0","C1-Esterase inhibitor"
"2738","Sympathomimetics and other vasoconstrictor drugs","Vasoconstrictor sympathomimetics","0207020AA","Isoprenaline hydrochloride"
"2739","Eye Products","Eye Products","2130","Eye Products"
"2740","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010F0","Brompheniramine maleate"
"2741","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000J0","Domperidone"
"2742","Cough preparations","Expectorant and demulcent cough preparations","0309020Z0","Wild cherry bark"
"2743","Analgesics","Antimigraine drugs","0407042R0","Fremanezumab"
"2744","Drugs used in substance dependence","Nicotine dependence","0410020B0","Nicotine"
"2745","Anaemias and some other blood disorders","Hypoplastic,haemolytic and renal anaemias","0901030N0","Methoxy polyethylene glycol-epoetin beta"
"2746","Antiviral drugs","HIV infection","0503010AV","Lamivudine/tenofovir disoproxil"
"2747","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020T0","Nystatin"
"2748","Anticoagulants and protamine","Parenteral anticoagulants","0208010L0","Dalteparin sodium"
"2749","Skin cleansers,antiseptics and desloughing agents","Phenolics","1311050V0","Halogenated phenols with phenol"
"2750","Anti-infective eye preparations","Antibacterials","1103010AJ","Polihexanide"
"2751","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000M0","Nadolol"
"2752","Oral nutrition","Inherited metabolic disorder - Protein source (infant)","0913234A0","Powder infant formula (0913234)"
"2753","Oral nutrition","Inherited metabolic disorder - Protein source (infant)","0913231A0","Powder infant formula (0913231)"
"2754","Drugs affecting bone metabolism","Bisphosphonates and other drugs","0606020U0","Tiludronic acid"
"2755","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010J0","Corticotropin"
"2756","Nasal Device","Nasal Device","2117","Nasal Device"
"2757","Laxatives","Stimulant laxatives","0106020F0","Castor oil"
"2758","Sympathomimetics and other vasoconstrictor drugs","Inotropic sympathomimetics","0207010Y0","Dopexamine hydrochloride"
"2759","Cytotoxic drugs","Other antineoplastic drugs","0801050BR","Cabozantinib"
"2760","Treatment of vaginal and vulval conditions","Preparations for vaginal and vulval changes","070201000","Other vaginal/vulva changes preparations"
"2761","Enteral nutrition","Tube feed - Standard","0914011L0","Tube feed 1.54 kcal/ml with fibre (0914011)"
"2762","Cytotoxic drugs","Antimetabolites","0801030AG","Gilteritinib"
"2763","CNS stimulants and drugs used for ADHD","CNS stimulants and drugs used for ADHD","0404000T0","Dexmethylphenidate hydrochloride"
"2764","Drugs affecting the immune response","Corticosteroids and other immunosuppressants","0802020T0","Tacrolimus"
"2765","Anaemias and some other blood disorders","Hypoplastic,haemolytic and renal anaemias","0901030Q0","Epoetin zeta"
"2766","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020AE","Ciclosporin (Eye Anti Inflammatory)"
"2767","Skin cleansers,antiseptics and desloughing agents","Alcohols and saline","1311010I0","Isopropyl alcohol"
"2768","Anaemias and some other blood disorders","Iron-deficiency anaemias","0901011P0","Ferrous sulfate"
"2769","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition","0913449A0","Powder disc or non ACBS carbohydrate supplement (091344)"
"2770","Hypnotics and anxiolytics","Barbiturates","0401030T0","Secobarbital sodium"
"2771","Cytotoxic drugs","Anthracyclines and cytotoxic antibiotics","0801020P0","Idarubicin hydrochloride"
"2772","Hypertension and heart failure","Centrally-acting antihypertensive drugs","0205020H0","Methyldopa"
"2773","Drugs used in obstetrics","Prostaglandins and oxytocics","0701011D0","Alprostadil"
"2774","Cytotoxic drugs","Other antineoplastic drugs","0801050AG","Cetuximab"
"2775","Oral nutrition","ONS - Impaired GI function specific","0913062A0","Powder 5 kcal/g milkshake (0913062)"
"2776","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition","0913445B0","Pdr disc/non ACBS protein SfI metabolic condition (0913445)"
"2777","Topical corticosteroids","Topical corticosteroids","1304000AC","Fluprednidene acetate"
"2778","Antibacterial drugs","Antituberculosis drugs","0501090E0","Cycloserine"
"2779","Leg Ulcer Wrap","Leg Ulcer Wrap","2126","Leg Ulcer Wrap"
"2780","Oral nutrition","Infant formula - Condition specific","0913105A0","Powder lactose free formula (0913105)"
"2781","Oral nutrition","Non ACBS ONS - Dysphagia specific","0913671B0","Powder 1.7 kcal/ml milkshake pre-thickened (0913671)"
"2782","Nitrates, calcium-channel blockers & other antianginal drugs","Nitrates","0206010W0","Isosorbide mononitrate with aspirin"
"2783","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020G0","Dexamethasone"
"2784","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040X0","Cilostazol"
"2785","Drugs used in diabetes","Antidiabetic drugs","0601023B0","Pioglitazone hydrochloride"
"2786","Thyroid and antithyroid drugs","Thyroid hormones","0602010M0","Liothyronine sodium"
"2787","Immunoglobulins","Anti-D (Rho) immunoglobulin","1405030A0","Anti-D (Rh-) immunoglobulin"
"2788","Antibacterial drugs","Cephalosporins and other beta-lactams","0501021C0","Cefixime"
"2789","Bronchodilators","Adrenoceptor agonists","0301011U0","Salmeterol"
"2790","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913225A0","Powder 5g protein equivalent (0913225)"
"2791","Antiviral drugs","HIV infection","0503010Z0","Abacavir and lamivudine"
"2792","Antidepressant drugs","Other antidepressant drugs","0403040AB","Vortioxetine"
"2793","Drugs used in the treatment of obesity","Centrally-acting appetite suppressants","0405020T0","Rimonabant"
"2794","Analgesics","Opioid analgesics","0407020AB","Papaveretum"
"2795","Lipid-regulating drugs","Lipid-regulating drugs","0212000K0","Colestipol hydrochloride"
"2796","Cytotoxic drugs","Vinca alkaloids and etoposide","0801040Q0","Vindesine sulfate"
"2797","Antiplatelet drugs","Antiplatelet drugs","0209000V0","Dipyridamole and aspirin"
"2798","Oral nutrition","ONS - Standard","0913011R0","RtS 1.6 kcal/g dessert style (fruit based) (0913011)"
"2799","Topical local anaesthetics and antipruritics","Topical local anaesthetics and antipruritics","1303000A0","Tetracaine hydrochloride"
"2800","Sex hormones and hormone antagonists in malignant disease","Oestrogens","0803010D0","Fosfestrol tetrasodium"
"2801","Health supplements","Enzymes","091102000","Other enzyme preparations 0911020"
"2802","Drugs acting on the oropharynx","Treatment of dry mouth","1203050A0","Artificial saliva products"
"2803","Vitamins","Vitamin D","0906040C0","Calcitriol"
"2804","Cytotoxic drugs","Vinca alkaloids and etoposide","0801040M0","Vincristine sulfate"
"2805","Bitters and tonics","Bitters and tonics","0907000H0","Gentian"
"2806","Analgesics","Opioid analgesics","0407020Y0","Nalbuphine hydrochloride"
"2807","Vaginal PH Correction Products","Vaginal PH Correction Products","2134","Vaginal PH Correction Products"
"2808","Cordials and soft drinks","Cordials and soft drinks","191300000","Other cordial/soft drink preparations"
"2809","Intravenous nutrition","Intravenous nutrition","0903000R0","Addaven (Generic)"
"2810","Drugs acting on the nose","Drugs used in nasal allergy","1202010M0","Fluticasone propionate (Nasal)"
"2811","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050M0","Magnesium sulfate"
"2812","Mucolytics","Mucolytics","0307000T0","Lumacaftor/ivacaftor"
"2813","Emollient and barrier preparations","Dusting-powders","1302030T0","Talc purified"
"2814","Sunscreens and camouflagers","Sunscreening preparations","1308010W0","Diclofenac sodium"
"2815","Nitrates, calcium-channel blockers & other antianginal drugs","Calcium-channel blockers","0206020K0","Lacidipine"
"2816","Diuretics","Potassium sparing diuretics and compounds","0202040V0","Triamterene with thiazides"
"2817","Oral nutrition","Non-ACBS energy and protein fortifier","0913391B0","RtS discontinued energy with protein liquid (0913391)"
"2818","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020B0","Acetic acid"
"2819","Drugs acting on the oropharynx","Drugs for oral ulceration and inflammation","1203010G0","Carbenoxolone sodium"
"2820","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010M0","Urofollitropin"
"2821","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020AH","Povidone iodine"
"2822","Antiviral drugs","HIV infection","0503010AN","Efavirenz/emtricitabine/tenofovir disoproxil"
"2823","Oral nutrition","Non ACBS oil","0913481A0","Ready to serve non ACBS oil (0913481)"
"2824","Hypertension and heart failure","Renin-angiotensin system drugs","0205052Y0","Olmesartan medoxomil/hydrochlorothiazide"
"2825","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020AF","Diclofenac diethyl"
"2826","Analgesics","Opioid analgesics","0407020G0","Dihydrocodeine tartrate"
"2827","Antiepileptic drugs","Drugs used in status epilepticus","0408020U0","Fosphenytoin sodium"
"2828","Cough preparations","Expectorant and demulcent cough preparations","0309020G0","Guaifenesin"
"2829","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010S0","Somatropin"
"2830","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000D0","Etamsylate"
"2831","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010AJ","Etoricoxib"
"2832","Sex Hormones","Female sex hormones and their modulators","0604011Y0","Tibolone"
"2833","Acne and rosacea","Topical preparations for acne","1306010T0","Sulfur"
"2834","Oral nutrition","Non-ACBS Inherited metabolic disorder-Protein source (paed)","0913681A0","Ready to serve 10g protein equivalent (0913681)"
"2835","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020AD","Ranibizumab"
"2836","Anthelmintics","Filaricides","0505060I0","Ivermectin"
"2837","Cytotoxic drugs","Other antineoplastic drugs","0801050AA","Imatinib mesilate"
"2838","Antibacterial drugs","Macrolides","0501050H0","Erythromycin ethylsuccinate"
"2839","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020N0","Methyl salicylate"
"2840","Cough preparations","Expectorant and demulcent cough preparations","0309020AB","Diphenhydramine hydrochloride/pholcodine"
